From http://ribosome.med.miyazaki-u.ac.jp/rpg.cgi?mode=orglist&org=Homo%20sapiens,
Subunit,Gene
SA,RPSA
S2,RPS2
S3,RPS3
S3A,RPS3A
S4,RPS4X
S4,RPS4Y
S5,RPS5
S6,RPS6
S7,RPS7
S8,RPS8
S9,RPS9
S10,RPS10
S11,RPS11
S12,RPS12
S13,RPS13
S14,RPS14
S15,RPS15
S15A,RPS15A
S16,RPS16
S17,RPS17
S18,RPS18
S19,RPS19
S20,RPS20
S21,RPS21
S22,RPS22
S23,RPS23
S24,RPS24
S25,RPS25
S26,RPS26
S27,RPS27
S27A,RPS27A
S28,RPS28
S29,RPS29
S30,RPS30
L3,RPL3
L4,RPL4
L5,RPL5
L6,RPL6
L7,RPL7
L7A,RPL7A
L8,RPL8
L9,RPL9
L10,RPL10
L10A,RPL10A
L11,RPL11
L12,RPL12
L13,RPL13
L13A,RPL13A
L14,RPL14
L15,RPL15
L16,RPL16
L17,RPL17
L18,RPL18
L18A,RPL18A
L19,RPL19
L20,RPL20
L21,RPL21
L22,RPL22
L23,RPL23
L23A,RPL23A
L24,RPL24
L25,RPL25
L26,RPL26
L27,RPL27
L27A,RPL27A
L28,RPL28
L29,RPL29
L30,RPL30
L31,RPL31
L32,RPL32
L33,RPL33
L34,RPL34
L35,RPL35
L35A,RPL35A
L36,RPL36
L36A,RPL36A
L37,RPL37
L37A,RPL37A
L38,RPL38
L39,RPL39
L40,RPL40
L41,RPL41
LP0,RPLP0
LP1,RPLP1
LP2,RPLP2
